0000000482,scans,0000000092,DataLength
"header",0000000024,"lines"
"Date",03/08/2022,"Time",10:24:36
"ID","HAL V RC RGA 201 #12461","Version",3
"Scans",5
"Scan ID","Mode","Input","Scanned","Start","Stop","Increment","Dwell","Settle","RS","RelSEM"
"Scan 1","RGA","Faraday","mass",18.00,18.00,0.01,100.000%,100.000%,0.900000,1.000000,
"Scan 2","RGA","Faraday","mass",44.00,44.00,0.01,100.000%,100.000%,1.400000,1.000000,
"Scan 3","RGA","Faraday","mass",32.00,32.00,0.01,100.000%,100.000%,0.860000,1.000000,
"Scan 4","RGA","Faraday","mass",4.00,4.00,0.01,100.000%,100.000%,0.140000,1.000000,
"Scan 5","RGA","Faraday","mass",28.00,28.00,0.01,100.000%,100.000%,1.000000,1.000000,
"Environment",
"Global","RGA"
"F1",0,"( 1 = on, 0 = off )"
"F2",1,"( 1 = on, 0 = off )"
"cage",3.0,"V"
"delta-m",0,"%"
"electron-energy",70.0,"V"
"emission",250,"uA"
"focus",-90,"V"
"mass",5.50,"amu"
"mode-change-delay",1000,"ms"
"multiplier",0,"V"
"resolution",0,"%"
"Data",5
"Time","ms","Water","Carbon dioxide","Oxygen","Helium","Nitrogen",
00:00:01,      1002,  0.00000e+00,  0.00000e+00,  1.28487e-08,  0.00000e+00,  8.83990e-08,
00:00:01,      1522,  0.00000e+00, -7.89279e-10,  1.92731e-08,  0.00000e+00,  9.83440e-08,
00:00:02,      2040, -6.13888e-10, -1.89428e-09,  2.44127e-08,  1.57856e-08,  1.01438e-07,
00:00:02,      2557,  1.63293e-09,  5.52493e-11,  2.91797e-08,  2.36785e-10,  1.13814e-07,
00:00:09,      9172,  1.70691e-09,  1.00831e-10,  3.09592e-08,  2.64410e-10,  1.20113e-07,
00:00:23,     23320,  1.85977e-09,  1.01186e-11,  3.22120e-08,  4.67256e-11,  1.29174e-07,
00:00:43,     43589,  1.88003e-09,  1.62434e-11,  3.30985e-08,  5.20921e-11,  1.26743e-07,
00:01:03,     63885,  2.01662e-09,  1.15077e-11,  8.62156e-09,  8.09393e-09,  3.19344e-08,
00:01:24,     84155,  9.89588e-10,  4.27471e-11,  1.78309e-09,  7.39457e-08,  8.92830e-09,
00:01:44,    104052,  5.95962e-11,  1.47059e-10,  8.25537e-10,  7.41507e-08,  8.07750e-09,
00:02:06,    126528,  4.43963e-11,  1.38456e-10,  6.49122e-11,  7.48200e-08,  7.26398e-09,
00:02:30,    150985,  5.53972e-11,  1.23444e-11,  1.95301e-12,  7.11121e-08,  1.52489e-10,
00:02:54,    174421,  2.25664e-11,  4.92514e-12, -2.51836e-12,  7.05343e-08,  1.17571e-11,
00:03:20,    200917, -1.12954e-12, -3.26764e-12,  2.74964e-12,  7.05457e-08, -4.11059e-12,
00:03:49,    229515,  2.84843e-12,  6.62993e-12,  4.06536e-11,  6.93643e-08,  7.58020e-12,
00:04:16,    256014,  4.49366e-12,  8.05064e-13,  1.33627e-12,  6.90821e-08,  5.61339e-12,
00:04:42,    282510,  9.79756e-12,  1.45228e-12,  1.41593e-11,  6.98907e-08,  3.93379e-12,
00:05:09,    309007,  4.69010e-12,  1.46806e-12, -1.39537e-11,  6.84679e-08, -2.65199e-13,
00:05:36,    336523,  1.26706e-11, -5.95114e-12,  1.97871e-12,  6.76493e-08,  4.97249e-12,
00:06:00,    360919,  4.46910e-12, -2.68356e-12, -7.06685e-12,  6.91093e-08, -8.44210e-12,
00:06:29,    389516,  7.41577e-12,  5.12557e-11,  3.34686e-10,  7.02814e-08,  2.27165e-10,
00:06:56,    416012,  2.42117e-11,  2.99928e-13,  1.44677e-11,  6.97864e-08,  7.18690e-11,
00:07:22,    442509,  1.95216e-11,  6.18793e-12,  1.73458e-11,  7.14814e-08,  5.62002e-11,
00:07:49,    469005,  2.47519e-11,  3.61492e-12,  1.95815e-11,  7.13193e-08,  3.29731e-11,
00:08:15,    495501,  1.46350e-11, -2.58885e-12,  1.43906e-11,  7.09879e-08,  3.09399e-11,
00:08:41,    521998,  1.05097e-11,  4.73571e-13,  1.69347e-11,  7.15286e-08,  2.77796e-11,
00:09:10,    550597,  9.15911e-12, -5.98271e-12,  5.65348e-13,  7.19293e-08,  1.98899e-11,
00:09:37,    577093,  7.98054e-12, -8.01907e-12,  1.31057e-11,  7.20379e-08,  1.32378e-11,
00:10:03,    603590,  1.44877e-12, -3.15714e-12,  7.24673e-12,  7.31564e-08,  2.89951e-11,
00:10:27,    627985,  1.18848e-11,  1.01028e-12,  9.58512e-12,  7.26000e-08,  1.96910e-11,
00:10:54,    654481,  2.45554e-12,  7.26136e-12, -1.92731e-12,  7.18364e-08,  2.07518e-11,
00:11:18,    678876, -1.76799e-12, -2.27314e-12,  3.64906e-12,  7.19471e-08,  1.84534e-11,
00:11:45,    705373,  1.57646e-11,  8.09800e-12,  1.05873e-11,  7.23950e-08,  1.87407e-11,
00:12:13,    733970,  1.41930e-11,  1.40492e-12, -1.15638e-12,  7.26929e-08,  2.15474e-11,
00:12:40,    760468, -7.85777e-13,  7.82964e-12,  2.03010e-12,  7.26136e-08,  1.43649e-11,
00:13:06,    786964,  6.70366e-12,  9.67657e-12,  2.25881e-11,  7.27479e-08,  1.68401e-11,
00:13:33,    813460, -1.96443e-13,  3.55178e-12,  1.95301e-12,  7.21479e-08,  1.71495e-11,
00:13:59,    839956,  9.30644e-12,  4.51471e-12,  7.60650e-12,  7.35864e-08,  1.87628e-11,
00:14:22,    862251,  1.66977e-12,  4.27792e-12,  9.89349e-12,  7.40857e-08,  1.09615e-11,
00:14:48,    888748,  2.21490e-11,  3.94642e-13,  5.75627e-12,  7.34857e-08,  1.58456e-11,
00:15:17,    917345,  1.14919e-11, -9.31350e-13, -9.71360e-12,  7.32707e-08,  2.46635e-11,
00:15:45,    945943,  8.81533e-12, -2.17842e-12, -7.22103e-12,  7.31207e-08,  8.30950e-12,
00:16:12,    972440,  4.27266e-12, -2.16264e-12,  3.52057e-12,  7.32336e-08,  7.02779e-12,
00:16:41,   1001037,  9.25733e-12,  6.23529e-12,  3.10941e-12,  7.32650e-08,  5.19349e-12,
00:17:09,   1029633,  1.28916e-11,  4.73571e-13,  3.80324e-12,  7.30636e-08, -3.75699e-13,
00:17:36,   1056130, -8.27511e-12,  6.56679e-12,  1.10499e-12,  7.35414e-08,  1.20665e-11,
00:18:02,   1082627,  8.49611e-12,  3.07821e-12,  8.53151e-12,  7.41807e-08,  1.17571e-11,
00:18:29,   1109122,  4.71466e-12, -3.07821e-12, -6.11603e-12,  7.39179e-08,  5.83439e-12,
00:18:55,   1135618, -1.05588e-12,  2.25735e-12,  5.52499e-12,  7.43071e-08,  6.14379e-12,
00:19:20,   1160013,  8.10332e-13,  7.89279e-13,  5.83336e-12,  7.47900e-08,  2.98349e-12,
00:19:46,   1186509,  3.31499e-12, -1.87849e-12,  4.59216e-11,  7.39579e-08,  1.15266e-09,
00:20:15,   1215105,  4.17443e-12,  1.37335e-12,  4.26580e-12,  7.35829e-08,  8.28740e-12,
00:20:40,   1240644,  9.55200e-12, -5.61964e-12, -4.88255e-12,  7.49564e-08,  4.03324e-11,
00:21:00,   1260898,  6.70366e-12, -2.06792e-12,  6.50150e-12,  7.41193e-08, -4.68519e-12,
00:21:29,   1289495, -2.30821e-12,  1.67328e-12,  1.54956e-11,  7.43579e-08,  4.70729e-12,
00:21:58,   1318091,  4.24810e-12, -3.17292e-12,  9.35384e-12,  7.42400e-08,  5.43659e-12,
00:22:22,   1342486, -4.44454e-12,  2.28892e-12,  1.23605e-11,  7.56050e-08,  1.61329e-12,
00:22:47,   1367901,  4.34632e-12,  9.31350e-13,  2.15859e-12,  7.53407e-08, -3.00559e-12,
00:23:14,   1394398,  3.16766e-12,  5.17771e-12,  1.48274e-11,  7.49264e-08,  4.04429e-12,
00:23:38,   1418794, -1.74343e-12,  3.63071e-12, -4.54848e-12,  7.45357e-08, -9.81230e-12,
00:24:07,   1447392, -1.62066e-12, -3.44128e-12,  7.27243e-12,  7.51750e-08, -5.12719e-12,
00:24:35,   1475988,  8.59433e-12, -4.94092e-12,  4.67697e-12,  7.58164e-08,  1.28179e-12,
00:25:04,   1504585,  7.63677e-12,  3.18871e-12,  1.92731e-12,  7.61679e-08,  1.94479e-12,
00:25:31,   1531082,  8.49611e-12,  2.87299e-12, -1.17694e-11,  7.52500e-08,  3.02769e-12,
00:25:59,   1559679,  2.82388e-12, -2.00478e-12, -8.27464e-12,  7.55814e-08, -3.51389e-12,
00:26:24,   1584074, -8.34878e-12, -2.84142e-12, -5.65348e-13,  7.53464e-08, -4.79569e-12,
00:26:50,   1610570, -3.70788e-12, -8.36636e-13, -3.08371e-12,  7.51929e-08,  5.76809e-12,
00:27:12,   1632867,  9.82211e-14, -2.60464e-12,  8.22324e-13,  7.48236e-08,  1.61329e-12,
